"Netherlands","Region Hovedstaden",2106
"Netherlands","Copenhagen",939
"Netherlands","Frederiksberg",151
"Netherlands","Dragør",13
"Netherlands","Tårnby",28
"Netherlands","Albertslund",20
"Netherlands","Ballerup",33
"Netherlands","Brøndby",16
"Netherlands","Gentofte",151
"Netherlands","Gladsaxe",57
"Netherlands","Glostrup",10
"Netherlands","Herlev",24
"Netherlands","Hvidovre",30
"Netherlands","Høje-Taastrup",34
"Netherlands","Ishøj",15
"Netherlands","Lyngby-Taarbæk",82
"Netherlands","Rødovre",19
"Netherlands","Vallensbæk",8
"Netherlands","Allerød",27
"Netherlands","Egedal",30
"Netherlands","Fredensborg",55
"Netherlands","Frederikssund",37
"Netherlands","Furesø",39
"Netherlands","Gribskov",25
"Netherlands","Halsnæs",22
"Netherlands","Helsingør",50
"Netherlands","Hillerød",40
"Netherlands","Hørsholm",33
"Netherlands","Rudersdal",82
"Netherlands","Bornholm",36
"Netherlands","Christiansø",0
"Netherlands","Region Sjælland",551
"Netherlands","Greve",42
"Netherlands","Køge",26
"Netherlands","Lejre",22
"Netherlands","Roskilde",78
"Netherlands","Solrød",7
"Netherlands","Faxe",30
"Netherlands","Guldborgsund",33
"Netherlands","Holbæk",56
"Netherlands","Kalundborg",27
"Netherlands","Lolland",29
"Netherlands","Næstved",35
"Netherlands","Odsherred",20
"Netherlands","Ringsted",24
"Netherlands","Slagelse",29
"Netherlands","Sorø",22
"Netherlands","Stevns",16
"Netherlands","Vordingborg",55
"Netherlands","Region Syddanmark",2160
"Netherlands","Assens",33
"Netherlands","Faaborg-Midtfyn",42
"Netherlands","Kerteminde",12
"Netherlands","Langeland",5
"Netherlands","Middelfart",28
"Netherlands","Nordfyns",22
"Netherlands","Nyborg",18
"Netherlands","Odense",166
"Netherlands","Svendborg",49
"Netherlands","Ærø",4
"Netherlands","Billund",75
"Netherlands","Esbjerg",251
"Netherlands","Fanø",0
"Netherlands","Fredericia",29
"Netherlands","Haderslev",149
"Netherlands","Kolding",104
"Netherlands","Sønderborg",79
"Netherlands","Tønder",276
"Netherlands","Varde",377
"Netherlands","Vejen",126
"Netherlands","Vejle",122
"Netherlands","Aabenraa",193
"Netherlands","Region Midtjylland",1596
"Netherlands","Favrskov",29
"Netherlands","Hedensted",28
"Netherlands","Horsens",82
"Netherlands","Norddjurs",17
"Netherlands","Odder",25
"Netherlands","Randers",67
"Netherlands","Samsø",3
"Netherlands","Silkeborg",76
"Netherlands","Skanderborg",42
"Netherlands","Syddjurs",46
"Netherlands","Aarhus",344
"Netherlands","Herning",202
"Netherlands","Holstebro",127
"Netherlands","Ikast-Brande",83
"Netherlands","Lemvig",52
"Netherlands","Ringkøbing-Skjern",179
"Netherlands","Skive",34
"Netherlands","Struer",16
"Netherlands","Viborg",144
"Netherlands","Region Nordjylland",693
"Netherlands","Brønderslev",28
"Netherlands","Frederikshavn",39
"Netherlands","Hjørring",106
"Netherlands","Jammerbugt",44
"Netherlands","Læsø",0
"Netherlands","Mariagerfjord",60
"Netherlands","Morsø",19
"Netherlands","Rebild",77
"Netherlands","Thisted",38
"Netherlands","Vesthimmerlands",117
"Netherlands","Aalborg",165
