CN010010,01,001,"Autauga County, AL",2009,"23,288  ","21,025  ","2,263  ",9.7   
PA011000,01,003,"Baldwin County, AL",2009,"81,706  ","74,238  ","7,468  ",9.1   
CN010050,01,005,"Barbour County, AL",2009,"9,703  ","8,401  ","1,302  ",13.4   
CN010070,01,007,"Bibb County, AL",2009,"8,475  ","7,453  ","1,022  ",12.1   
CN010090,01,009,"Blount County, AL",2009,"25,306  ","22,789  ","2,517  ",9.9   
CN010110,01,011,"Bullock County, AL",2009,"3,527  ","2,948  ",579  ,16.4   
CN010130,01,013,"Butler County, AL",2009,"8,884  ","7,403  ","1,481  ",16.7   
PA010250,01,015,"Calhoun County, AL",2009,"52,055  ","46,422  ","5,633  ",10.8   
CN010170,01,017,"Chambers County, AL",2009,"13,726  ","11,171  ","2,555  ",18.6   
CN010190,01,019,"Cherokee County, AL",2009,"11,583  ","10,220  ","1,363  ",11.8   
CN010210,01,021,"Chilton County, AL",2009,"18,697  ","16,854  ","1,843  ",9.9   
CN010230,01,023,"Choctaw County, AL",2009,"4,925  ","4,299  ",626  ,12.7   
CN010250,01,025,"Clarke County, AL",2009,"10,300  ","8,552  ","1,748  ",17.0   
CN010270,01,027,"Clay County, AL",2009,"5,474  ","4,603  ",871  ,15.9   
CN010290,01,029,"Cleburne County, AL",2009,"6,284  ","5,633  ",651  ,10.4   
CN010310,01,031,"Coffee County, AL",2009,"19,913  ","18,228  ","1,685  ",8.5   
PA010900,01,033,"Colbert County, AL",2009,"24,202  ","21,436  ","2,766  ",11.4   
CN010350,01,035,"Conecuh County, AL",2009,"4,835  ","3,892  ",943  ,19.5   
CN010370,01,037,"Coosa County, AL",2009,"4,510  ","3,879  ",631  ,14.0   
CN010390,01,039,"Covington County, AL",2009,"16,310  ","14,663  ","1,647  ",10.1   
CN010410,01,041,"Crenshaw County, AL",2009,"6,280  ","5,670  ",610  ,9.7   
PA010400,01,043,"Cullman County, AL",2009,"37,658  ","34,028  ","3,630  ",9.6   
PA010450,01,045,"Dale County, AL",2009,"19,281  ","17,486  ","1,795  ",9.3   
PA010500,01,047,"Dallas County, AL",2009,"15,477  ","12,209  ","3,268  ",21.1   
PA010270,01,049,"DeKalb County, AL",2009,"29,727  ","25,489  ","4,238  ",14.3   
CN010510,01,051,"Elmore County, AL",2009,"33,928  ","30,873  ","3,055  ",9.0   
CN010530,01,053,"Escambia County, AL",2009,"14,439  ","12,580  ","1,859  ",12.9   
PS010010,01,055,"Etowah County, AL",2009,"44,279  ","39,524  ","4,755  ",10.7   
CN010570,01,057,"Fayette County, AL",2009,"6,744  ","5,880  ",864  ,12.8   
CN010590,01,059,"Franklin County, AL",2009,"12,754  ","11,191  ","1,563  ",12.3   
CN010610,01,061,"Geneva County, AL",2009,"10,930  ","9,835  ","1,095  ",10.0   
CN010630,01,063,"Greene County, AL",2009,"3,250  ","2,773  ",477  ,14.7   
CN010650,01,065,"Hale County, AL",2009,"6,821  ","5,953  ",868  ,12.7   
CN010670,01,067,"Henry County, AL",2009,"6,993  ","6,301  ",692  ,9.9   
PA010550,01,069,"Houston County, AL",2009,"44,214  ","40,278  ","3,936  ",8.9   
PA010570,01,071,"Jackson County, AL",2009,"25,222  ","22,243  ","2,979  ",11.8   
PS010050,01,073,"Jefferson County, AL",2009,"299,680  ","267,493  ","32,187  ",10.7   
CN010750,01,075,"Lamar County, AL",2009,"5,478  ","4,666  ",812  ,14.8   
PA010600,01,077,"Lauderdale County, AL",2009,"40,952  ","36,638  ","4,314  ",10.5   
CN010790,01,079,"Lawrence County, AL",2009,"15,496  ","13,396  ","2,100  ",13.6   
PA010650,01,081,"Lee County, AL",2009,"61,392  ","56,083  ","5,309  ",8.6   
CN010830,01,083,"Limestone County, AL",2009,"35,769  ","32,443  ","3,326  ",9.3   
CN010850,01,085,"Lowndes County, AL",2009,"4,814  ","3,923  ",891  ,18.5   
CN010870,01,087,"Macon County, AL",2009,"8,883  ","7,871  ","1,012  ",11.4   
CN010890,01,089,"Madison County, AL",2009,"160,077  ","147,994  ","12,083  ",7.5   
CN010910,01,091,"Marengo County, AL",2009,"7,805  ","6,648  ","1,157  ",14.8   
CN010930,01,093,"Marion County, AL",2009,"12,146  ","10,296  ","1,850  ",15.2   
PA010700,01,095,"Marshall County, AL",2009,"40,020  ","36,346  ","3,674  ",9.2   
CN010970,01,097,"Mobile County, AL",2009,"181,879  ","161,763  ","20,116  ",11.1   
CN010990,01,099,"Monroe County, AL",2009,"8,419  ","6,842  ","1,577  ",18.7   
CN011010,01,101,"Montgomery County, AL",2009,"101,133  ","90,778  ","10,355  ",10.2   
PA010750,01,103,"Morgan County, AL",2009,"53,923  ","48,297  ","5,626  ",10.4   
CN011050,01,105,"Perry County, AL",2009,"3,616  ","2,900  ",716  ,19.8   
CN011070,01,107,"Pickens County, AL",2009,"7,723  ","6,718  ","1,005  ",13.0   
CN011090,01,109,"Pike County, AL",2009,"15,346  ","14,010  ","1,336  ",8.7   
CN011110,01,111,"Randolph County, AL",2009,"8,827  ","7,497  ","1,330  ",15.1   
CN011130,01,113,"Russell County, AL",2009,"20,860  ","18,240  ","2,620  ",12.6   
CN011150,01,115,"St. Clair County, AL",2009,"34,452  ","30,774  ","3,678  ",10.7   
PA011100,01,117,"Shelby County, AL",2009,"92,888  ","85,783  ","7,105  ",7.6   
CN011190,01,119,"Sumter County, AL",2009,"4,562  ","3,926  ",636  ,13.9   
PA010800,01,121,"Talladega County, AL",2009,"37,033  ","31,986  ","5,047  ",13.6   
CN011230,01,123,"Tallapoosa County, AL",2009,"17,664  ","15,238  ","2,426  ",13.7   
PS010220,01,125,"Tuscaloosa County, AL",2009,"85,253  ","77,612  ","7,641  ",9.0   
PA010850,01,127,"Walker County, AL",2009,"27,883  ","24,575  ","3,308  ",11.9   
CN011290,01,129,"Washington County, AL",2009,"6,626  ","5,625  ","1,001  ",15.1   
CN011310,01,131,"Wilcox County, AL",2009,"3,547  ","2,638  ",909  ,25.6   
CN011330,01,133,"Winston County, AL",2009,"9,094  ","7,506  ","1,588  ",17.5   
CN020130,02,013,"Aleutians East Borough, AK",2009,"1,148  ","1,032  ",116  ,10.1   
CN020100,02,016,"Aleutians West Census Area, AK",2009,"2,903  ","2,658  ",245  ,8.4   
CN020200,02,020,"Anchorage Borough/municipality, AK",2009,"153,264  ","142,563  ","10,701  ",7.0   
CN020500,02,050,"Bethel Census Area, AK",2009,"7,061  ","6,014  ","1,047  ",14.8   
CN020600,02,060,"Bristol Bay Borough, AK",2009,"1,159  ","1,117  ",42  ,3.6   
CN020680,02,068,"Denali Borough, AK",2009,"2,300  ","2,221  ",79  ,3.4   
CN020700,02,070,"Dillingham Census Area, AK",2009,"2,634  ","2,413  ",221  ,8.4   
CN020900,02,090,"Fairbanks North Star Borough, AK",2009,"45,632  ","42,496  ","3,136  ",6.9   
CN021000,02,100,"Haines Borough, AK",2009,"1,588  ","1,490  ",98  ,6.2   
CN021100,02,110,"Juneau Borough/city, AK",2009,"18,615  ","17,545  ","1,070  ",5.7   
CN021220,02,122,"Kenai Peninsula Borough, AK",2009,"26,463  ","23,905  ","2,558  ",9.7   
CN021300,02,130,"Ketchikan Gateway Borough, AK",2009,"8,781  ","8,249  ",532  ,6.1   
CN021500,02,150,"Kodiak Island Borough, AK",2009,"6,423  ","6,000  ",423  ,6.6   
CN021640,02,164,"Lake and Peninsula Borough, AK",2009,"1,372  ","1,291  ",81  ,5.9   
CN021700,02,170,"Matanuska-Susitna Borough, AK",2009,"40,287  ","36,735  ","3,552  ",8.8   
CN021800,02,180,"Nome Census Area, AK",2009,"3,877  ","3,406  ",471  ,12.1   
CN021850,02,185,"North Slope Borough, AK",2009,"5,119  ","4,826  ",293  ,5.7   
CN021880,02,188,"Northwest Arctic Borough, AK",2009,"2,805  ","2,434  ",371  ,13.2   
CN022010,02,201,"Prince of Wales-Outer Ketchikan Census Area, AK",2009,"2,507  ","2,165  ",342  ,13.6   
CN022200,02,220,"Sitka Borough/city, AK",2009,"4,707  ","4,430  ",277  ,5.9   
CN022310,02,232,"Skagway-Hoonah-Angoon Census Area, AK",2009,"2,278  ","2,111  ",167  ,7.3   
CN022400,02,240,"Southeast Fairbanks Census Area, AK",2009,"3,673  ","3,374  ",299  ,8.1   
CN022610,02,261,"Valdez-Cordova Census Area, AK",2009,"5,789  ","5,416  ",373  ,6.4   
CN022700,02,270,"Wade Hampton Census Area, AK",2009,"2,807  ","2,235  ",572  ,20.4   
CN022800,02,280,"Wrangell-Petersburg Census Area, AK",2009,"2,836  ","2,558  ",278  ,9.8   
CN022820,02,282,"Yakutat Borough, AK",2009,350  ,328  ,22  ,6.3   
CN022900,02,290,"Yukon-Koyukuk Census Area, AK",2009,"2,790  ","2,411  ",379  ,13.6   
PA040800,04,001,"Apache County, AZ",2009,"22,797  ","19,434  ","3,363  ",14.8   
PA040400,04,003,"Cochise County, AZ",2009,"62,754  ","58,122  ","4,632  ",7.4   
PA040600,04,005,"Coconino County, AZ",2009,"74,896  ","69,099  ","5,797  ",7.7   
CN040070,04,007,"Gila County, AZ",2009,"22,859  ","20,378  ","2,481  ",10.9   
CN040090,04,009,"Graham County, AZ",2009,"14,430  ","12,357  ","2,073  ",14.4   
CN040110,04,011,"Greenlee County, AZ",2009,"4,450  ","3,494  ",956  ,21.5   
CN040120,04,012,"La Paz County, AZ",2009,"7,812  ","7,120  ",692  ,8.9   
CN040130,04,013,"Maricopa County, AZ",2009,"2,001,233  ","1,832,115  ","169,118  ",8.5   
PA040900,04,015,"Mohave County, AZ",2009,"92,909  ","83,396  ","9,513  ",10.2   
PA040550,04,017,"Navajo County, AZ",2009,"40,715  ","34,941  ","5,774  ",14.2   
CN040190,04,019,"Pima County, AZ",2009,"489,560  ","448,666  ","40,894  ",8.4   
PA040450,04,021,"Pinal County, AZ",2009,"117,530  ","103,715  ","13,815  ",11.8   
CN040230,04,023,"Santa Cruz County, AZ",2009,"18,760  ","15,529  ","3,231  ",17.2   
PA040700,04,025,"Yavapai County, AZ",2009,"99,997  ","90,536  ","9,461  ",9.5   
PA040500,04,027,"Yuma County, AZ",2009,"89,436  ","67,791  ","21,645  ",24.2   
